nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
SRI NURHAYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258871,Sistem Komputer (S1),258871,3,10,217,797,217,797
DEWI KURNIASIH,https://sinta.kemdiktisaintek.go.id/authors/profile/259139,Ilmu Pemerintahan (S1),259139,2,13,217,987,217,987
EKO BUDI SETIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6003867,Teknik Informatika (S1),6003867,3,21,215,1.489,215,1.489
RAHMA WAHDINIWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/5987192,Manajemen (S2),5987192,2,15,212,910,212,910
SAHAT MARULI TUA SITUMEANG,https://sinta.kemdiktisaintek.go.id/authors/profile/259618,Ilmu Hukum (S1),259618,1,14,207,822,207,822
SURTIKANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5977822,Akuntansi (S1),5977822,4,5,206,691,206,691
IRFAN MALIKI,https://sinta.kemdiktisaintek.go.id/authors/profile/258853,Teknik Informatika (S1),258853,3,5,203,762,203,762
DEDEN A WAHAB,https://sinta.kemdiktisaintek.go.id/authors/profile/259249,Manajemen (S2),259249,2,9,203,877,203,877
SYAHRUL MAULUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/258616,Manajemen Informatika (D3),258616,4,9,199,1.237,199,1.237
SONI MULYAWAN SETIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258299,Sastra Jepang (S1),258299,2,9,197,791,197,791
LEONARDI PARIS HASUGIAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258695,Sistem Informasi (S1),258695,4,8,196,966,196,966
ANGGA SETIYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/258737,Teknik Informatika (S1),258737,3,14,195,989,195,989
YULLY AMBARSIH EKAWARDHANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258688,Desain (S2),258688,1,3,191,740,191,740
MYRNA DWI RAHMATYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258673,Manajemen Informatika (D3),258673,3,9,180,722,180,722
LUSI MELIAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258694,Sistem Informasi (S1),258694,3,5,179,534,179,534
RANI PUSPITA DHANIAWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/258697,Sistem Informasi (S1),258697,2,9,173,788,173,788
RICHI DWI AGUSTIA,https://sinta.kemdiktisaintek.go.id/authors/profile/258671,Teknik Informatika (S1),258671,1,7,172,606,172,606
MUHAMMAD RAYHAN BUSTAM,https://sinta.kemdiktisaintek.go.id/authors/profile/6066614,Sastra Inggris (S1),6066614,1,12,166,500,166,500
ADEH RATNA KOMALA,https://sinta.kemdiktisaintek.go.id/authors/profile/258605,Akuntansi (D3),258605,2,8,164,662,164,662
IMELDA,https://sinta.kemdiktisaintek.go.id/authors/profile/5996634,Manajemen Informatika (D3),5996634,3,5,162,567,162,567
ANDRIAS DARMAYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/6034983,Ilmu Hubungan Internasional (S1),6034983,2,3,161,539,161,539
ADI RACHMANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258583,Akuntansi (D3),258583,1,6,159,445,159,445
ALAM SANTOSA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004118,Teknik Industri (S1),6004118,2,6,158,449,158,449
ADAM MUKHARIL BACHTIAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258851,Teknik Elektro (S1),258851,3,13,154,961,154,961
SOPIAN ALVIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6675491,Teknik Informatika (S1),6675491,3,6,153,659,153,659
"BUDI HERDIANA, ST,MT",https://sinta.kemdiktisaintek.go.id/authors/profile/5973299,Unknown,5973299,3,6,150,530,150,530
SELFA SEPTIANI AULIA,https://sinta.kemdiktisaintek.go.id/authors/profile/6668527,Teknik Perencanaan Wilayah Dan Kota (S1),6668527,1,4,149,314,149,314
MUHAMMAD IFFAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258567,Manajemen Pemasaran (D3),258567,2,8,147,905,147,905
RAENI DWI SANTY,https://sinta.kemdiktisaintek.go.id/authors/profile/258564,Manajemen (S2),258564,1,7,146,972,146,972
I MADE ARYANTHA A,https://sinta.kemdiktisaintek.go.id/authors/profile/6003816,Teknik Industri (S1),6003816,1,6,146,335,146,335
BAMBANG SISWOYO,https://sinta.kemdiktisaintek.go.id/authors/profile/6926655,Teknik Informatika (S1),6926655,3,7,144,215,144,215
DIAN DHARMAYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258821,Teknik Informatika (S1),258821,3,7,143,797,143,797
RANGGA SIDIK,https://sinta.kemdiktisaintek.go.id/authors/profile/258690,Sistem Informasi (S1),258690,2,8,143,914,143,914
EDI FIRDAUS,https://sinta.kemdiktisaintek.go.id/authors/profile/6666525,Manajemen (S1),6666525,0,0,142,185,142,185
NOVRINI HASTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258668,Sistem Informasi (S1),258668,4,10,141,773,141,773
DONY WALUYA FIRDAUS,https://sinta.kemdiktisaintek.go.id/authors/profile/258631,Komputerisasi Akuntansi (D3),258631,3,9,141,551,141,551
AGUS RIYANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/259128,Manajemen (S1),259128,5,9,140,747,140,747
DEDI SULISTYO SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258195,Manajemen (S2),258195,5,11,137,816,137,816
NELLY INDRIANI WIDIASTUTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258656,Teknik Informatika (S1),258656,3,10,137,840,137,840
KANIA EVITA DEWI,https://sinta.kemdiktisaintek.go.id/authors/profile/258639,Teknik Informatika (S1),258639,2,8,136,665,136,665
MIA FITRIAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258666,Sistem Informasi (S1),258666,2,10,136,514,136,514
RETNO PURWANI SARI,https://sinta.kemdiktisaintek.go.id/authors/profile/258190,Sastra Inggris (S1),258190,0,6,136,382,136,382
MUHAMMAD RAJAB FACHRIZAL,https://sinta.kemdiktisaintek.go.id/authors/profile/258727,Sistem Informasi (S1),258727,3,9,135,586,135,586
MOHAMMAD ALI,https://sinta.kemdiktisaintek.go.id/authors/profile/6761166,Sastra Jepang (S1),6761166,0,4,130,397,130,397
DEWI TRIWAHYUNI,https://sinta.kemdiktisaintek.go.id/authors/profile/6004750,Ilmu Hubungan Internasional (S1),6004750,1,5,129,605,129,605
JUANDA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004121,Sastra Inggris (S1),6004121,5,4,128,386,128,386
R FENNY SYAFARIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258626,Ilmu Komunikasi (S1),258626,2,7,127,515,127,515
NIZAR RABBI RADLIYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258724,Sistem Informasi (S1),258724,2,7,126,643,126,643
TATAN TAWAMI,https://sinta.kemdiktisaintek.go.id/authors/profile/258188,Sastra Inggris (S1),258188,2,7,125,519,125,519
ISNIAR BUDIARTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5977885,Ilmu Manajemen (S3),5977885,1,14,125,861,125,861
WINDI NOVIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258557,Manajemen (S1),258557,2,6,120,1.057,120,1.057
NIA KARNIAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/259065,Ilmu Pemerintahan (S1),259065,0,8,118,381,118,381
JULIAN ROBECCA,https://sinta.kemdiktisaintek.go.id/authors/profile/6003814,Teknik Industri (S1),6003814,1,6,115,370,115,370
JULIAN CHANDRA WIBAWA,https://sinta.kemdiktisaintek.go.id/authors/profile/258661,Sistem Informasi (S1),258661,2,11,114,739,114,739
GABRIEL SIANTURI,https://sinta.kemdiktisaintek.go.id/authors/profile/6003989,Teknik Industri (S1),6003989,2,5,113,567,113,567
DHINI DEWIYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5998751,Teknik Arsitektur (S1),5998751,2,9,112,483,112,483
WENDI ZARMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258905,Sistem Komputer (S1),258905,1,10,110,477,110,477
HERRY SAPUTRA,https://sinta.kemdiktisaintek.go.id/authors/profile/6803109,Unknown,6803109,1,2,109,168,109,168
HIDAYAT,https://sinta.kemdiktisaintek.go.id/authors/profile/5999088,Teknik Komputer (D3),5999088,3,6,109,672,109,672
LINNA ISMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258562,Manajemen (S1),258562,1,8,108,974,108,974
MOCHAMAD FAJAR WICAKSONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258729,Teknik Komputer (D3),258729,2,12,108,984,108,984
AGUS MULYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258880,Teknik Komputer (D3),258880,4,7,107,522,107,522
HANI IRMAYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6660741,Teknik Komputer (D3),6660741,2,0,107,536,107,536
JOHN ADLER,https://sinta.kemdiktisaintek.go.id/authors/profile/258346,Teknik Komputer (D3),258346,2,7,106,490,106,490
SUGENG,https://sinta.kemdiktisaintek.go.id/authors/profile/6731875,Unknown,6731875,0,5,105,256,105,256
IYAN ANDRIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004157,Teknik Industri (S1),6004157,2,5,103,325,103,325
DEDI MULYASANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6742727,Unknown,6742727,1,7,102,1.102,102,1.102
